sha256,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
generated_00000000,0,LdrUnloadDll,LoadStringW,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000001,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000002,0,LdrUnloadDll,GetSystemInfo,CoUninitialize,LoadStringW,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtClose,GetSystemTimeAsFileTime,NtCreateFile,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000003,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,LdrLoadDll,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000004,0,NtQueryValueKey,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000005,0,LdrUnloadDll,GetSystemInfo,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000006,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,NtTerminateProcess,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000007,0,LdrUnloadDll,LoadStringW,NtOpenKey,NtTerminateProcess,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryAttributesFile,NtQueryValueKey,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000008,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,LdrGetProcedureAddress,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtWriteFile,NetShareEnum,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000009,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,MessageBoxTimeoutW,LdrGetDllHandle,LoadResource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000010,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,LdrGetDllHandle,NtQueryValueKey,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000011,0,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,NtTerminateProcess,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000012,0,LdrUnloadDll,LoadStringW,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtQueryValueKey,LdrGetDllHandle,GetSystemTimeAsFileTime,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000013,0,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,LdrGetDllHandle,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
