sha256,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176
6f6bbeee2459926bf072b4ebdb831990236f04741031602ae4aac05d34f3f7f3,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24b4cd2736bbe051b4b419c171357914223765ce03d19b42d08fc81cd42d6932,0,RegCreateKeyExW,LdrUnloadDll,NtOpenSection,CoUninitialize,RegCloseKey,LookupAccountSidW,NtDuplicateObject,GetSystemInfo,DeviceIoControl,NtResumeThread,GetSystemWindowsDirectoryW,NtClose,GetFileVersionInfoSizeW,NtOpenProcess,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,RtlAddVectoredContinueHandler,NtQueryKey,RtlAddVectoredExceptionHandler,CreateActCtxW,GetFileSize,RegOpenKeyExW,SetErrorMode,NtAllocateVirtualMemory,DeleteFileW,LdrGetDllHandle,NtFreeVirtualMemory,NtQuerySystemInformation,NtReadFile,NtOpenFile,GetFileAttributesExW,CreateThread,GetSystemDirectoryW,RegQueryInfoKeyW,CoCreateInstance,NtUnmapViewOfSection,RegEnumKeyExW,SHGetFolderPathW,NtQueryDirectoryFile,SetUnhandledExceptionFilter,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,NtQueryAttributesFile,NtCreateMutant,NtProtectVirtualMemory,CoInitializeEx,RegEnumValueW,NtCreateSection,NtOpenKey,NtOpenMutant,LdrGetProcedureAddress,CoInitializeSecurity,GetFileVersionInfoW,IsDebuggerPresent,NtOpenKeyEx,LdrLoadDll,NtTerminateProcess,UuidCreate,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8481a8ec19cb656ce328c877d5817d317203ba34424a2e9d169ddce5bf2cd2b0,0,RegCreateKeyExW,NtDuplicateObject,NtOpenSection,CoUninitialize,RegCloseKey,NtQueryKey,LdrUnloadDll,GetShortPathNameW,OpenSCManagerW,NtSetInformationFile,RemoveDirectoryW,DeviceIoControl,WSAStartup,GetFileAttributesExW,NtTerminateProcess,NtQueryValueKey,GetFileAttributesW,OpenServiceW,RegQueryValueExW,NtMapViewOfSection,NtOpenThread,GetSystemMetrics,RegEnumKeyW,GetFileSize,RegOpenKeyExW,NtEnumerateKey,NtDeviceIoControlFile,NtReadFile,CreateDirectoryW,DeleteFileW,NtWriteFile,LdrGetDllHandle,GetSystemInfo,NtFreeVirtualMemory,NtQuerySystemInformation,NtEnumerateValueKey,NtAllocateVirtualMemory,NtOpenFile,GetUserNameW,CreateThread,GetSystemDirectoryW,RegQueryInfoKeyW,SetFilePointer,NtUnmapViewOfSection,NtQueryDirectoryFile,RegEnumKeyExW,SetUnhandledExceptionFilter,GetTempPathW,NtCreateFile,GetSystemTimeAsFileTime,NtQueryAttributesFile,NtCreateMutant,CoInitializeEx,RegEnumValueW,NtCreateSection,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,CoInitializeSecurity,IsDebuggerPresent,SetFileAttributesW,NtOpenKeyEx,LdrLoadDll,CoCreateInstance,UuidCreate,NtQueryInformationFile,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de3196627bc810dd22f58dee65747baca25485ccd0cee2701055ece1058f1c6a,0,RegCreateKeyExW,LdrUnloadDll,RegCloseKey,RegSetValueExW,NtOpenKey,RegOpenKeyExW,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,NtOpenProcess,GetFileAttributesW,LdrGetDllHandle,RegQueryValueExW,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605bf0c708441d146d2f902bb340858e314fca70a4c88eb31cf3544c865c123,0,NtDuplicateObject,NtOpenSection,CoUninitialize,RegCloseKey,NtQueryKey,LdrUnloadDll,DeviceIoControl,NtTerminateProcess,NtQueryValueKey,RegQueryValueExW,NtMapViewOfSection,GetFileSize,RegOpenKeyExW,NtDelayExecution,NtAllocateVirtualMemory,LdrGetDllHandle,NtQuerySystemInformation,CreateThread,NtUnmapViewOfSection,CoCreateInstance,GetSystemDirectoryW,SetUnhandledExceptionFilter,NtFreeVirtualMemory,GetSystemTimeAsFileTime,NtQueryAttributesFile,CoInitializeEx,NtCreateSection,NtOpenKey,LdrGetProcedureAddress,CoInitializeSecurity,NtOpenKeyEx,LdrLoadDll,NtCreateFile,UuidCreate,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efabf20b403d5c53cda24592628382b6d465c26986751ee26f2012d3c238cb27,0,CoInitializeEx,CoUninitialize,LdrUnloadDll,NtOpenKey,CoCreateInstance,NtUnmapViewOfSection,CoInitializeSecurity,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a22895e55b26202eae166838edbe2ea6aad00d7ea600c11f8a31ede5cbce2048,0,NtDuplicateObject,NtOpenSection,CoUninitialize,RegCloseKey,NtQueryKey,GetNativeSystemInfo,DrawTextExW,NtSetInformationFile,RegOpenKeyExA,FindWindowW,IsDebuggerPresent,GetSystemWindowsDirectoryW,NtQueryValueKey,FindResourceExW,NtOpenProcess,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetSystemMetrics,CreateActCtxW,GetFileSize,RegOpenKeyExW,NtDelayExecution,SetErrorMode,NtReadFile,GetFileInformationByHandle,CreateDirectoryW,NtWriteFile,LdrGetDllHandle,GetSystemInfo,NtFreeVirtualMemory,GetKeyState,GetCursorPos,SetFilePointer,SetFilePointerEx,NtOpenFile,GetFileSizeEx,CreateThread,NtUnmapViewOfSection,RegQueryInfoKeyW,CoCreateInstance,GetSystemDirectoryW,RegEnumKeyExW,SHGetFolderPathW,SetUnhandledExceptionFilter,GetTempPathW,NtCreateFile,GetSystemTimeAsFileTime,FindFirstFileExW,NtCreateMutant,CoInitializeEx,NtCreateSection,LdrUnloadDll,LoadStringW,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,__exception__,NtAllocateVirtualMemory,GetFileType,SetEndOfFile,SetFileTime,LdrLoadDll,NtEnumerateValueKey,NtQueryInformationFile,NtClose,RegCreateKeyExW,GetComputerNameW,NtQueryDirectoryFile,GetComputerNameA,RegDeleteValueW,RegSetValueExW,CoInitializeSecurity,CopyFileW,SetFileAttributesW,UuidCreate,CreateProcessInternalW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7316e6acc61c59929530a21d8367d4d1605533cc55cad738f1df908739d62b0,0,NtOpenSection,RegCloseKey,DrawTextExW,GetSystemWindowsDirectoryW,NtClose,GetFileVersionInfoSizeW,NtOpenProcess,RegQueryValueExW,DrawTextExA,NtFreeVirtualMemory,GetSystemMetrics,NtMapViewOfSection,SizeofResource,CreateActCtxW,RegOpenKeyExW,NtDelayExecution,NtAllocateVirtualMemory,RegOpenKeyExA,LdrGetDllHandle,GetKeyState,GetCursorPos,NtResumeThread,LoadStringA,CreateThread,GetSystemDirectoryW,NtUnmapViewOfSection,FindResourceExW,NtCreateFile,NtQueryAttributesFile,CoInitializeEx,NtCreateSection,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,GetFileVersionInfoW,LdrLoadDll,FindResourceA,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c6457df2e06ab1ad2362c8a87cf01e35fc7b304ecf223eb06b5a42e8abfb813,0,LdrUnloadDll,NtOpenSection,GetAdaptersInfo,RegCloseKey,NtQueryKey,DrawTextExW,GetSystemInfo,FindResourceW,WSAStartup,IsDebuggerPresent,NtClose,GetForegroundWindow,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetSystemMetrics,SizeofResource,CreateActCtxW,RegOpenKeyExW,SetErrorMode,NtDeviceIoControlFile,NtAllocateVirtualMemory,LdrGetDllHandle,GetKeyState,GetCursorPos,NtOpenFile,NtUnmapViewOfSection,RegQueryInfoKeyW,GetSystemDirectoryW,RegEnumKeyExW,LoadStringW,FindResourceExW,NtFreeVirtualMemory,GetSystemTimeAsFileTime,CoInitializeEx,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,NtOpenDirectoryObject,NtOpenKeyEx,LdrLoadDll,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99cbd0ce2a5fdef88f41b47ba07786c641d582d8a0800f39618799ad1425df82,0,NtDuplicateObject,NtOpenSection,RegCloseKey,NtQueryKey,LdrUnloadDll,DrawTextExW,NtQueryValueKey,GetForegroundWindow,RegQueryValueExW,NtFreeVirtualMemory,GetSystemMetrics,NtMapViewOfSection,CreateActCtxW,RegOpenKeyExW,NtDelayExecution,NtAllocateVirtualMemory,LdrGetDllHandle,CoGetClassObject,GetCursorPos,GetComputerNameW,NtEnumerateValueKey,NtReadFile,NtOpenFile,NtUnmapViewOfSection,CoCreateInstance,GetSystemDirectoryW,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,FindResourceExW,CoCreateInstanceEx,CoInitializeEx,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,CoInitializeSecurity,GetFileType,NtOpenKeyEx,LdrLoadDll,NtQueryInformationFile,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
